"Model","Solver","Nodes","Elements","Total Time","Assembly","Solve","Iterations","Peak RAM","Peak VRAM","Status","Date"
"Elbow 90°","Threaded","623 153","206 435","1m 52.5s","19.48s","1m 22.9s","6228","812 MB","-","✓","Jan 6, 05:58 PM"
"Elbow 90°","Threaded","623 153","206 435","1m 53.1s","19.60s","1m 22.8s","6231","814 MB","-","✓","Jan 6, 05:58 PM"
"Elbow 90°","Threaded","161 984","53 344","17.39s","5.04s","9.80s","3134","99 MB","-","✓","Jan 6, 05:50 PM"
"Elbow 90°","Threaded","161 984","53 344","17.43s","4.98s","9.88s","3135","99 MB","-","✓","Jan 6, 05:50 PM"
"Elbow 90°","Threaded","161 984","53 344","17.34s","5.01s","9.81s","3135","100 MB","-","✓","Jan 6, 05:50 PM"
"Elbow 90°","Threaded","411","111","19ms","10ms","<0.01s","141","0 MB","-","✓","Jan 6, 05:49 PM"
"Elbow 90°","Threaded","411","111","19ms","<0.01s","<0.01s","141","0 MB","-","✓","Jan 6, 05:49 PM"
"Elbow 90°","Threaded","411","111","19ms","10ms","<0.01s","141","0 MB","-","✓","Jan 6, 05:49 PM"
"Backward-Facing Step","Threaded","1 283 215","426 686","6m 37.9s","40.94s","5m 36.4s","10 849","2.06 GB","-","✓","Jan 6, 05:49 PM"
"Backward-Facing Step","Threaded","1 283 215","426 686","6m 37.3s","40.47s","5m 36.4s","10 850","2.06 GB","-","✓","Jan 6, 05:49 PM"
"Backward-Facing Step","Threaded","1 283 215","426 686","6m 38.2s","40.68s","5m 36.8s","10 850","2.21 GB","-","✓","Jan 6, 05:49 PM"
"Backward-Facing Step","Threaded","766 088","254 551","2m 55.1s","24.50s","2m 18.1s","8099","1.17 GB","-","✓","Jan 6, 05:22 PM"
"Backward-Facing Step","Threaded","766 088","254 551","2m 55.2s","24.36s","2m 18.5s","8100","985 MB","-","✓","Jan 6, 05:22 PM"
"Backward-Facing Step","Threaded","766 088","254 551","2m 54.6s","23.99s","2m 18.2s","8104","1.13 GB","-","✓","Jan 6, 05:22 PM"
"Backward-Facing Step","Threaded","195 362","64 713","24.95s","6.34s","15.29s","3991","136 MB","-","✓","Jan 6, 05:11 PM"
"Backward-Facing Step","Threaded","195 362","64 713","24.79s","6.14s","15.34s","3991","121 MB","-","✓","Jan 6, 05:11 PM"
"Backward-Facing Step","Threaded","195 362","64 713","24.83s","6.38s","15.34s","3990","120 MB","-","✓","Jan 6, 05:11 PM"
"Backward-Facing Step","Threaded","287","82","14ms","<0.01s","<0.01s","137","0 MB","-","✓","Jan 6, 05:09 PM"
"Backward-Facing Step","Threaded","287","82","14ms","<0.01s","<0.01s","137","0 MB","-","✓","Jan 6, 05:09 PM"
"Backward-Facing Step","Threaded","287","82","15ms","<0.01s","<0.01s","137","0 MB","-","✓","Jan 6, 05:09 PM"
"T-Junction","Threaded","1 291 289","429 176","7m 7.4s","40.78s","6m 4.9s","11 582","2.10 GB","-","✓","Jan 6, 05:09 PM"
"T-Junction","Threaded","1 291 289","429 176","7m 5.4s","40.55s","6m 4.1s","11 579","2.09 GB","-","✓","Jan 6, 05:09 PM"
"T-Junction","Threaded","1 291 289","429 176","7m 7.2s","41.07s","6m 5.2s","11 583","2.11 GB","-","✓","Jan 6, 05:09 PM"
"T-Junction","Threaded","768 898","255 333","3m 5.5s","24.79s","2m 28.0s","8641","1.16 GB","-","✓","Jan 6, 04:40 PM"
"T-Junction","Threaded","768 898","255 333","3m 4.9s","24.36s","2m 28.0s","8640","1.25 GB","-","✓","Jan 6, 04:40 PM"
"T-Junction","Threaded","768 898","255 333","3m 4.3s","24.25s","2m 27.6s","8634","1.01 GB","-","✓","Jan 6, 04:40 PM"
"T-Junction","Threaded","196 420","64 987","26.09s","6.17s","16.75s","4319","121 MB","-","✓","Jan 6, 04:28 PM"
"T-Junction","Threaded","196 420","64 987","25.96s","6.11s","16.70s","4319","164 MB","-","✓","Jan 6, 04:28 PM"
"T-Junction","Threaded","196 420","64 987","26.11s","6.28s","16.70s","4319","121 MB","-","✓","Jan 6, 04:28 PM"
